Mean age at birth by region, 2005;;
;;
Region;Mean;
AT Austria/Österreich;29.0;
BE Belgium/Belgique-België;29.3;
BG Bulgaria/Bulgaria;26.0;
BG311 na/Vidin;25.1;
BG312 na/Montana;25.1;
BG313 na/Vratsa;25.7;
BG314 na/Pleven;25.7;
BG315 na/Lovech;25.7;
BG321 na/Veliko Tarnovo;25.9;
BG322 na/Gabrovo;27.1;
BG323 na/Ruse;26.5;
BG324 na/Razgrad;25.7;
BG325 na/Silistra;25.1;
BG331 na/Varna;26.8;
BG332 na/Dobrich;25.6;
BG333 na/Shumen;25.6;
BG334 na/Targovishte;25.0;
BG341 na/Burgas;25.9;
BG342 na/Sliven;24.2;
BG343 na/Yambol;25.0;
BG344 na/Stara Zagora;25.4;
BG411 Sofia (capital)/Sofia (Stolitsa);28.4;
BG412 Sofia (district)/Sofia;25.7;
BG413 na/Blagoevgrad;25.8;
BG414 na/Pernik;26.5;
BG415 na/Kyustendil;26.4;
BG421 na/Plovdiv;26.1;
BG422 na/Haskovo;25.1;
BG423 na/Pazardzhik;24.8;
BG424 na/Smolyan;25.9;
BG425 na/Kardzhali;25.6;
CH Switzerland /Schweiz-Svizzera-Suisse;30.6;
CY Cyprus/Kibris;29.6;
CZ Czech Republic/Ceská Republika;28.6;
DE Germany/Deutschland;29.5;
DE1 na/Baden-Württemberg;30.7;
DE11 na/Stuttgart, Reg.-Bez.;30.7;
DE12 na/Karlsruhe, Reg.-Bez.;30.7;
DE13 na/Freiburg, Reg.-Bez.;30.6;
DE14 na/Tübingen, Reg.-Bez.;30.8;
DE2 na/Bayern;30.6;
DE21 na/Oberbayern, Reg.-Bez.;31.3;
DE22 na/Niederbayern, Reg.-Bez.;30.1;
DE23 na/Oberpfalz, Reg.-Bez.;30.1;
DE24 na/Oberfranken, Reg.-Bez.;29.7;
DE25 na/Mittelfranken, Reg.-Bez.;30.2;
DE26 na/Unterfranken, Reg.-Bez.;30.2;
DE27 na/Schwaben, Reg.-Bez.;30.4;
DE30 na/Berlin;30.0;
DE4 na/Brandenburg;28.8;
DE50 na/Bremen;29.5;
DE60 na/Hamburg;30.8;
DE7 na/Hessen;30.5;
DE71 na/Darmstadt, Reg.-Bez.;30.8;
DE72 na/Gießen, Reg.-Bez.;29.9;
DE73 na/Kassel, Reg.-Bez.;29.8;
DE80 na/Mecklenburg-Vorpommern;28.0;
DE9 na/Niedersachsen;30.1;
DE91 na/Braunschweig, Stat. Region;29.9;
DE92 na/Hannover, Stat. Region;30.2;
DE93 na/Lüneburg, Stat. Region;30.3;
DE94 na/Weser-Ems, Stat. Region;29.9;
DEA na/Nordrhein-Westfalen;30.1;
DEA1 na/Düsseldorf, Reg.-Bez.;30.1;
DEA2 na/Köln, Reg.-Bez.;30.5;
DEA3 na/Münster, Reg.-Bez.;30.1;
DEA4 na/Detmold, Reg.-Bez.;29.8;
DEA5 na/Arnsberg, Reg.-Bez.;29.6;
DEB na/Rheinland-Pfalz;30.0;
DEB1 na/Koblenz, Stat. Region;29.8;
DEB2 na/Trier, Stat. Region;30.2;
DEB3 na/Rheinhessen-Pfalz, Stat. Region;30.1;
DEC0 na/Saarland;29.7;
DED na/Sachsen;28.9;
DED1 na/Chemnitz, Reg.-Bez.;28.6;
DED1 na/Direktionsbezirk Chemnitz*;28.6;
DED2 na/Dresden, Reg.-Bez.;29.1;
DED2 na/Direktionsbezirk Dresden*;29.1;
DED3 na/Leipzig, Reg.-Bez.;28.8;
DED3 na/Direktionsbezirk Leipzig*;28.9;
DEE na/Sachsen-Anhalt;28.1;
DEE1 na/Dessau, Stat. Region;28.0;
DEE2 na/Halle, Stat. Region;28.1;
DEE3 na/Magdeburg, Stat. Region;28.1;
DEF0 na/Schleswig-Holstein;30.4;
DEG0 na/Thüringen;28.3;
DK Denmark/Danmark;30.3;
EE Estonia/Eesti;28.2;
ES Spain/España;30.9;
ES11 na/Galicia;31.3;
ES12 na/Principado de Asturias;31.4;
ES13 na/Cantabria;31.6;
ES21 na/País Vasco;32.4;
ES22 na/Comunidad Foral de Navarra;31.8;
ES24 na/Aragón;31.5;
ES30 na/Comunidad de Madrid;31.4;
ES41 na/Castilla y León;31.7;
ES42 na/Castilla-La Mancha;31.8;
ES43 na/Extremadura;30.9;
ES51 na/Cataluña;30.9;
ES52 na/Comunidad Valenciana;30.7;
ES53 na/Illes Balears;30.3;
ES61 na/Andalucía;30.4;
ES62 na/Región de Murcia;30.1;
ES630 na/Ceuta;29.7;
ES640 na/Melilla;29.5;
ES70 na/Canarias;30.0;
FI Finland/Suomi;29.9;
FR France/France;29.7;
FR10 na/Île de France;30.6;
FR21 na/Champagne-Ardenne;28.9;
FR22 na/Picardie;28.7;
FR23 na/Haute-Normandie;29.0;
FR24 na/Centre;29.3;
FR25 na/Basse-Normandie;29.2;
FR26 na/Bourgogne;29.2;
FR30 na/Nord - Pas-de-Calais;28.9;
FR41 na/Lorraine;29.1;
FR42 na/Alsace;29.4;
FR43 na/Franche-Comté;29.1;
FR51 na/Pays de la Loire;29.5;
FR52 na/Bretagne;29.8;
FR53 na/Poitou-Charentes;29.4;
FR61 na/Aquitaine;29.7;
FR62 na/Midi-Pyrénées;30.0;
FR63 na/Limousin;29.3;
FR71 na/Rhône-Alpes;29.8;
FR72 na/Auvergne;29.5;
FR81 na/Languedoc-Roussillon;29.6;
FR82 na/Provence-Alpes-Côte d'Azur;29.9;
FR83 na/Corse;29.7;
FR9 na/Départements D'outre-Mer;28.5;
FR91 na/Guadeloupe;29.1;
FR92 na/Martinique;29.4;
FR93 na/Guyane;27.6;
FR94 na/Réunion;28.3;
GE Georgia/Georgia;25.4;
GR Greece/Ellada;29.9;
HR Croatia/Hrvatska;28.4;
HU Hungary/Magyarország;28.5;
IE Ireland/Ireland;31.2;
IS Iceland/Ísland;29.4;
IT Italy/Italia;30.9;
ITC na/Nord-Ovest;31.1;
ITC1 na/Piemonte;31.0;
ITC20 na/Valle d'Aosta/Vallée d'Aoste;30.7;
ITC3 na/Liguria;31.4;
ITC4 na/Lombardia;31.1;
ITD na/Nord-Est;31.0;
ITD10 na/Bolzano-Bozen;30.9;
ITD2 na/Provincia Autonoma Trento;30.9;
ITD20 na/Trento;31.0;
ITD4 na/Friuli-Venezia Giulia;31.1;
ITD5 na/Emilia-Romagna;30.7;
ITE na/Centro (I);31.4;
ITE1 na/Toscana;31.2;
ITE2 na/Umbria;30.8;
ITE3 na/Marche;31.0;
ITE4 na/Lazio;31.7;
ITF na/Sud;30.5;
ITF1 na/Abruzzo;31.4;
ITF2 na/Molise;31.5;
ITF3 na/Campania;30.2;
ITF4 na/Puglia;30.5;
ITF5 na/Basilicata;31.3;
ITF6 na/Calabria;30.6;
ITG na/Isole;30.3;
ITG1 na/Sicilia;30.0;
ITG2 na/Sardegna;31.9;
LI Liechtenstein/Liechtenstein;31.2;
LT Lithuania/Lietuva;27.6;
LT001 Alytus county/Alytaus apskritis;27.1;
LT002 Kaunas county/Kauno apskritis;27.9;
LT003 Klaipeda county/Klaipedos apskritis;27.4;
LT004 Marijampole county/Marijampoles apskritis;27.1;
LT005 Panevezys county/Paneve¸io apskritis;27.7;
LT006 Siauliai county/Siauliu apskritis;27.4;
LT007 Taurage county/Taurages apskritis;27.0;
LT008 Telsiai county/Tel¨iu apskritis;26.8;
LT009 Utena county/Utenos apskritis;27.5;
LT00A Vilnius county/Vilniaus apskritis;28.1;
LU Luxembourg/Luxembourg (Grand-Duché);29.8;
LV Latvia/Latvija;27.7;
MT Malta/Malta;27.9;
na Russian Federation/Russia;26.6;
na Germany (East)/Neue Bundesländer;28.7;
na Germany (West)/Alte Bundesländer;29.6;
na Albania/Republika e Shqipërisë;27.8;
na Former Yugoslav Republic of Macedonia/Republika Makedonija;27.2;
na Montenegro/Montenegrin;28.4;
na Serbia/Republika Srbija;27.4;
na Israel/Israel;29.5;
na Newfoundland/Newfoundland;28.5;
na Northwest Territories/Northwest Territories;27.8;
na Nunavut/Nunavut;24.7;
na Metropolitan France/France métropolitaine;29.6;
NL Netherlands/Nederland;30.6;
NO Norway/Norge;29.8;
PL Poland/Polska;28.2;
PT Portugal/Portugal;29.3;
RO Romania/Romania;26.7;
SE Sweden/Sverige;30.5;
SI Slovenia/Slovenija;29.4;
SK Slovakia/Slovenská Republika;27.7;
UK United Kingdom/United Kingdom;29.1;
EXTRA EU:;;
US United States/United States ;27.9;
CA Canada/Canada;29.2;
na Prince Edward Island/Prince Edward Island;28.0;
na Nova Scotia/Nova Scotia;28.6;
na New Brunswick/New Brunswick;27.9;
na Quebec/Quebec;28.9;
na Ontario/Ontario;30.0;
na Manitoba/Manitoba;27.8;
na Saskatchewan/Saskatchewan;27.0;
na Alberta/Alberta;28.6;
na British Columbia/British Columbia;29.9;
na Yukon Territory/Yukon Territory;29.2;
